NUI;'2022-JUL';'2022-AUG';'2022-SEP';'2022-OCT';'2022-NOV';'2022-DEC';'2023-JAN';'2023-FEB';'2023-MAR';'2023-APR';'2023-MAY';'2023-JUN';'2023-JUL';'2023-AUG';'2023-SEP';'2023-OCT';'2023-NOV';'2023-DEC'
104176;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
104192;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
104216;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
104222;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
104274;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
104284;PARA REVISION;;;;;;;;;;;;;;;;;
104286;;;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;;24 [24-SERV SUSPENDIDO SIN MEDIDO]
104300;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;
104318;;;;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;MAL REPORTADO EN TC2
104320;;;;;;;;;;;;;;;;;;
104332;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;
104380;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;
104410;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;
104454;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
104458;;;;;;;;;;;;;;;;4 [4-PREDIO - DEMOLIDO O ABAND];4 [4-PREDIO - DEMOLIDO O ABAND];
104462;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;
104484;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;
104540;;;;;;;;;13 [13-MEDIDOR VOLTEADO O DESCOLG];;;;;;;;;
104544;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
104546;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;
104552;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;
104578;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
104588;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
104598;;;;;;;;;;;;;;PARA REVISION;;;;
104620;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
104640;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
104642;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;16 [16-MEDIDOR DANADO];;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;
104716;;;;;;;PARA REVISION;;;;;MAL REPORTADO EN TC2;;;;;;
104720;;;;;;;;MAL REPORTADO EN TC2;;;;;;MAL REPORTADO EN TC2;;;;
104756;;;;;;;;;;;;;16 [16-MEDIDOR DANADO];;;;;
104770;;;;;;;;;;;;19 [19-REGISTRADOR NO VISIBLE];;;;;;
104776;;;;;PARA REVISION;;;;;;;;;;;;;
104890;;;;;;;;;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;
104912;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;8 [8-PREDIO DESOCUPADO SIN LECTU];SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;;MAL REPORTADO EN TC2;;;;;;;
104918;;;8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];;PARA REVISION;;;;;;;
