NUI,Date,Value
164850,'2022-JUL',99 [99-LECTURA CONFIRMADA]
165994,'2022-JUL',MAL REPORTADO EN TC2
167184,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
167222,'2022-JUL',1 [1-PREDIO NO EXISTE]
167230,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
167240,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
167260,'2022-JUL',6 [6-PREDIO DESOCUPADO CON LECTU]
167286,'2022-JUL',MAL REPORTADO EN TC2
167294,'2022-JUL',MAL REPORTADO EN TC2
167336,'2022-JUL',10 [10-MEDIDOR INEXISTENTE O DESC]
167346,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
167380,'2022-JUL',MAL REPORTADO EN TC2
167384,'2022-JUL',99 [99-LECTURA CONFIRMADA]
167402,'2022-JUL',MAL REPORTADO EN TC2
167450,'2022-JUL',99 [99-LECTURA CONFIRMADA]
167468,'2022-JUL',1 [1-PREDIO NO EXISTE]
167472,'2022-JUL',PARA REVISION
167512,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
167646,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
167690,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
167722,'2022-JUL',MAL REPORTADO EN TC2
167814,'2022-JUL',MAL REPORTADO EN TC2
167824,'2022-JUL',MAL REPORTADO EN TC2
167836,'2022-JUL',MAL REPORTADO EN TC2
167884,'2022-JUL',99 [99-LECTURA CONFIRMADA]
167908,'2022-JUL',99 [99-LECTURA CONFIRMADA]
167924,'2022-JUL',99 [99-LECTURA CONFIRMADA]
167942,'2022-JUL',MAL REPORTADO EN TC2
167950,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
168012,'2022-JUL',1 [1-PREDIO NO EXISTE]
168060,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
168440,'2022-JUL',MAL REPORTADO EN TC2
168454,'2022-JUL',99 [99-LECTURA CONFIRMADA]
168470,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
168530,'2022-JUL',99 [99-LECTURA CONFIRMADA]
168628,'2022-JUL',MAL REPORTADO EN TC2
168630,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
168684,'2022-JUL',MAL REPORTADO EN TC2
168722,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
168734,'2022-JUL',99 [99-LECTURA CONFIRMADA]
168750,'2022-JUL',MAL REPORTADO EN TC2
168794,'2022-JUL',MAL REPORTADO EN TC2
168812,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
168844,'2022-JUL',MAL REPORTADO EN TC2
168868,'2022-JUL',99 [99-LECTURA CONFIRMADA]
168870,'2022-JUL',MAL REPORTADO EN TC2
168878,'2022-JUL',MAL REPORTADO EN TC2
168924,'2022-JUL',MAL REPORTADO EN TC2
168934,'2022-JUL',8 [8-PREDIO DESOCUPADO SIN LECTU]
168954,'2022-JUL',MAL REPORTADO EN TC2
168972,'2022-JUL',PARA REVISION
169018,'2022-JUL',MAL REPORTADO EN TC2
169046,'2022-JUL',MAL REPORTADO EN TC2
169052,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
