NUI;year;mes;Value;ValueNum
562968;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
566820;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
567888;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
568886;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
569248;2022;JUL;37 [37-SIN SELLOS EN TAPA BORNERA];37
569500;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
570945;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
573585;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
578555;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
579323;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
580120;2022;JUL;16 [16-MEDIDOR DANADO];16
583904;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
584198;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
587861;2022;JUL;16 [16-MEDIDOR DANADO];16
588759;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
594778;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
599032;2022;JUL;7 [7-EXTREMADAMENTE ALTO];7
599194;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
599681;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
602822;2022;JUL;16 [16-MEDIDOR DANADO];16
604891;2022;JUL;16 [16-MEDIDOR DANADO];16
604945;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
607741;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
609295;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
609343;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
609555;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
609615;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
610825;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
610964;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
615241;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
615264;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
619130;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
619144;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
619150;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
619154;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
620077;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
620846;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
621881;2022;JUL;16 [16-MEDIDOR DANADO];16
628265;2022;JUL;18 [18-DISPLAY APAGADO O DESPROGRA];18
633509;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
634245;2022;JUL;16 [16-MEDIDOR DANADO];16
634415;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
639514;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
641871;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
642695;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
1003115;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
1006233;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
1006236;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
1009309;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
1009679;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
1011408;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
1011547;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
1016431;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
1016758;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
1016837;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
1016940;2022;JUL;18 [18-DISPLAY APAGADO O DESPROGRA];18
1018918;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
1020212;2022;JUL;18 [18-DISPLAY APAGADO O DESPROGRA];18
1021127;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
1023271;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
1024736;2022;JUL;18 [18-DISPLAY APAGADO O DESPROGRA];18
1025069;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
1025171;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
1025360;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
1025649;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
1025671;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
1026923;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
1027672;2022;JUL;13 [13-MEDIDOR VOLTEADO O DESCOLG];13
1027701;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
1028386;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
1029087;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
1029587;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
1029623;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
1032268;2022;JUL;16 [16-MEDIDOR DANADO];16
1033293;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
1033316;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
1033320;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
1034011;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
1035280;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
1035292;2022;JUL;16 [16-MEDIDOR DANADO];16
1035299;2022;JUL;18 [18-DISPLAY APAGADO O DESPROGRA];18
1035521;2022;JUL;16 [16-MEDIDOR DANADO];16
1035668;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
1037561;2022;JUL;7 [7-EXTREMADAMENTE ALTO];7
